,C/A,UNIT,SCP,STATION,DAY,Entered,Exited,IMPRESSIONS
0,A002,R051,02-00-00,59 ST,10,742.0,309.0,1051.0
1,A002,R051,02-00-00,59 ST,11,727.0,230.0,957.0
2,A002,R051,02-00-00,59 ST,12,1574.0,583.0,2157.0
3,A002,R051,02-00-00,59 ST,13,1724.0,599.0,2323.0
4,A002,R051,02-00-00,59 ST,14,1760.0,587.0,2347.0
5,A002,R051,02-00-00,59 ST,15,1775.0,611.0,2386.0
6,A002,R051,02-00-00,59 ST,16,1790.0,606.0,2396.0
7,A002,R051,02-00-01,59 ST,10,671.0,169.0,840.0
8,A002,R051,02-00-01,59 ST,11,675.0,157.0,832.0
9,A002,R051,02-00-01,59 ST,12,1302.0,304.0,1606.0
10,A002,R051,02-00-01,59 ST,13,1478.0,333.0,1811.0
11,A002,R051,02-00-01,59 ST,14,1484.0,362.0,1846.0
12,A002,R051,02-00-01,59 ST,15,1406.0,291.0,1697.0
13,A002,R051,02-00-01,59 ST,16,1486.0,335.0,1821.0
14,A002,R051,02-03-00,59 ST,10,563.0,1430.0,1993.0
15,A002,R051,02-03-00,59 ST,11,637.0,1415.0,2052.0
16,A002,R051,02-03-00,59 ST,12,1035.0,2677.0,3712.0
17,A002,R051,02-03-00,59 ST,13,1133.0,2746.0,3879.0
18,A002,R051,02-03-00,59 ST,14,1089.0,2785.0,3874.0
19,A002,R051,02-03-00,59 ST,15,1170.0,2738.0,3908.0
20,A002,R051,02-03-00,59 ST,16,1154.0,2698.0,3852.0
21,A002,R051,02-03-01,59 ST,10,0.0,1024.0,1024.0
22,A002,R051,02-03-01,59 ST,11,0.0,928.0,928.0
23,A002,R051,02-03-01,59 ST,12,0.0,2109.0,2109.0
24,A002,R051,02-03-01,59 ST,13,0.0,2428.0,2428.0
25,A002,R051,02-03-01,59 ST,14,0.0,2599.0,2599.0
26,A002,R051,02-03-01,59 ST,15,0.0,2308.0,2308.0
27,A002,R051,02-03-01,59 ST,16,0.0,2183.0,2183.0
28,A002,R051,02-03-02,59 ST,10,1103.0,1025.0,2128.0
29,A002,R051,02-03-02,59 ST,11,1182.0,1014.0,2196.0
30,A002,R051,02-03-02,59 ST,12,1917.0,2128.0,4045.0
31,A002,R051,02-03-02,59 ST,13,1959.0,2174.0,4133.0
32,A002,R051,02-03-02,59 ST,14,2123.0,2356.0,4479.0
33,A002,R051,02-03-02,59 ST,15,2117.0,2199.0,4316.0
34,A002,R051,02-03-02,59 ST,16,2199.0,2080.0,4279.0
35,A002,R051,02-03-03,59 ST,10,733.0,831.0,1564.0
36,A002,R051,02-03-03,59 ST,11,761.0,678.0,1439.0
37,A002,R051,02-03-03,59 ST,12,1428.0,1749.0,3177.0
38,A002,R051,02-03-03,59 ST,13,1849.0,1727.0,3576.0
39,A002,R051,02-03-03,59 ST,14,1763.0,1852.0,3615.0
40,A002,R051,02-03-03,59 ST,15,1619.0,1853.0,3472.0
41,A002,R051,02-03-03,59 ST,16,1635.0,1719.0,3354.0
42,A002,R051,02-03-04,59 ST,10,870.0,340.0,1210.0
43,A002,R051,02-03-04,59 ST,11,849.0,293.0,1142.0
44,A002,R051,02-03-04,59 ST,12,1595.0,748.0,2343.0
45,A002,R051,02-03-04,59 ST,13,2122.0,837.0,2959.0
46,A002,R051,02-03-04,59 ST,14,2173.0,925.0,3098.0
