,STATION,DAY,Entered,Exited,IMPRESSIONS
0,1 AV,10,14615.0,14763.0,29378.0
1,1 AV,11,15778.0,16543.0,32321.0
2,1 AV,12,19249.0,19796.0,39045.0
3,1 AV,13,22949.0,22817.0,45766.0
4,1 AV,14,23671.0,24395.0,48066.0
5,1 AV,15,24269.0,23968.0,48237.0
6,1 AV,16,24650.0,24715.0,49365.0
7,103 ST,10,13085.0,10455.0,23540.0
8,103 ST,11,12265.0,11609.0,23874.0
9,103 ST,12,30459.0,20742.0,51201.0
10,103 ST,13,34859.0,23699.0,58558.0
11,103 ST,14,35493.0,23901.0,59394.0
12,103 ST,15,35660.0,24292.0,59952.0
13,103 ST,16,35151.0,23351.0,58502.0
14,103 ST-CORONA,10,14171.0,9660.0,23831.0
15,103 ST-CORONA,11,12358.0,10868.0,23226.0
16,103 ST-CORONA,12,19939.0,13567.0,33506.0
17,103 ST-CORONA,13,21658.0,15156.0,36814.0
18,103 ST-CORONA,14,21413.0,15638.0,37051.0
19,103 ST-CORONA,15,21733.0,15448.0,37181.0
20,103 ST-CORONA,16,21793.0,15329.0,37122.0
21,104 ST,10,2481.0,1104.0,3585.0
22,104 ST,11,1969.0,1068.0,3037.0
23,104 ST,12,4722.0,2087.0,6809.0
24,104 ST,13,5173.0,2482.0,7655.0
25,104 ST,14,5126.0,2647.0,7773.0
26,104 ST,15,5269.0,2428.0,7697.0
27,104 ST,16,5107.0,2450.0,7557.0
28,110 ST,10,7002.0,5076.0,12078.0
29,110 ST,11,6463.0,5501.0,11964.0
30,110 ST,12,11356.0,8426.0,19782.0
31,110 ST,13,13364.0,9841.0,23205.0
32,110 ST,14,13495.0,10180.0,23675.0
33,110 ST,15,13585.0,10108.0,23693.0
34,110 ST,16,13854.0,10420.0,24274.0
35,111 ST,10,10554.0,6084.0,16638.0
36,111 ST,11,9084.0,6863.0,15947.0
37,111 ST,12,16182.0,9048.0,25230.0
38,111 ST,13,17810.0,10440.0,28250.0
39,111 ST,14,17902.0,10843.0,28745.0
40,111 ST,15,17998.0,10364.0,28362.0
41,111 ST,16,17865.0,10447.0,28312.0
42,116 ST,10,22294.0,11517.0,33811.0
43,116 ST,11,21075.0,12328.0,33403.0
44,116 ST,12,33068.0,17292.0,50360.0
45,116 ST,13,37617.0,19148.0,56765.0
46,116 ST,14,38163.0,19703.0,57866.0
47,116 ST,15,38298.0,19552.0,57850.0
48,116 ST,16,39140.0,19855.0,58995.0
49,116 ST-COLUMBIA,10,2702.0,2474.0,5176.0
50,116 ST-COLUMBIA,11,2391.0,2418.0,4809.0
51,116 ST-COLUMBIA,12,15303.0,8575.0,23878.0
52,116 ST-COLUMBIA,13,17768.0,9229.0,26997.0
53,116 ST-COLUMBIA,14,18267.0,9002.0,27269.0
54,116 ST-COLUMBIA,15,18797.0,9056.0,27853.0
55,116 ST-COLUMBIA,16,18268.0,8050.0,26318.0
56,121 ST,10,1498.0,1089.0,2587.0
57,121 ST,11,1482.0,1147.0,2629.0
58,121 ST,12,2554.0,1871.0,4425.0
